base judge R  Y/X  θ  ,E      ,ol1   ,ol2   ,ol3   ,ol4   ,ol5   ,ol6   ,ol7   ,ol8
78 T 6.0 0.58 90.00   ,-19.05 ,-0.72 ,-0.13 ,-0.32 ,0.02  ,0.20  ,-0.21 ,0.12  ,0.19
79 T 6.0 1.00 0.00    ,-8.91  ,-0.12 ,-0.28 ,-0.34 ,-0.32 ,0.19  ,0.00  ,-0.38 ,0.25
80 T 6.0 1.00 21.21   ,-13.95 ,-0.56 ,-0.27 ,-0.40 ,-0.10 ,0.21  ,-0.18 ,-0.13 ,0.14
81 T 6.0 1.00 42.43   ,-20.46 ,-0.76 ,-0.14 ,-0.31 ,0.09  ,0.15  ,-0.28 ,0.13  ,0.06
82 T 6.0 1.00 63.64   ,-22.70 ,-0.79 ,-0.06 ,-0.25 ,0.12  ,0.11  ,-0.30 ,0.21  ,0.09
83 T 6.0 1.00 84.85   ,-20.87 ,-0.77 ,-0.03 ,-0.22 ,0.11  ,0.09  ,-0.29 ,0.23  ,0.12
84 T 6.0 1.00 90.00   ,-20.73 ,-0.77 ,-0.03 ,-0.22 ,0.11  ,0.09  ,-0.29 ,0.23  ,0.12
85 T 6.0 1.73 0.00    ,-3.98  ,-0.10 ,-0.23 ,-0.29 ,-0.26 ,0.15  ,-0.02 ,-0.34 ,0.22
86 T 6.0 1.73 17.32   ,-4.61  ,-0.19 ,-0.23 ,-0.31 ,-0.24 ,0.15  ,-0.06 ,-0.31 ,0.22
87 T 6.0 1.73 34.64   ,-7.48  ,-0.42 ,-0.21 ,-0.33 ,-0.14 ,0.14  ,-0.16 ,-0.19 ,0.20
88 T 6.0 1.73 51.96   ,-12.38 ,-0.61 ,-0.12 ,-0.27 ,-0.01 ,0.09  ,-0.25 ,0.01  ,0.16
89 T 6.0 1.73 69.28   ,-13.66 ,-0.64 ,-0.04 ,-0.20 ,0.07  ,0.04  ,-0.27 ,0.12  ,0.13
90 T 6.0 1.73 86.60   ,-12.93 ,-0.63 ,-0.01 ,-0.16 ,0.09  ,0.03  ,-0.27 ,0.16  ,0.12
91 T 6.0 1.73 90.00   ,-12.90 ,-0.63 ,-0.01 ,-0.16 ,0.09  ,0.03  ,-0.27 ,0.16  ,0.12
92 T 6.0 3.73 0.00    ,4.24   ,-0.08 ,-0.18 ,-0.23 ,-0.20 ,0.11  ,-0.03 ,-0.28 ,0.18
93 T 6.0 3.73 15.53   ,4.03   ,-0.11 ,-0.18 ,-0.24 ,-0.19 ,0.11  ,-0.04 ,-0.27 ,0.18
94 T 6.0 3.73 31.06   ,3.04   ,-0.21 ,-0.17 ,-0.25 ,-0.16 ,0.10  ,-0.09 ,-0.23 ,0.19
95 T 6.0 3.73 46.59   ,0.71   ,-0.36 ,-0.13 ,-0.24 ,-0.09 ,0.07  ,-0.16 ,-0.13 ,0.18
96 T 6.0 3.73 62.12   ,-0.91  ,-0.44 ,-0.06 ,-0.18 ,-0.01 ,0.03  ,-0.20 ,-0.00 ,0.15
97 T 6.0 3.73 77.65   ,-0.88  ,-0.45 ,-0.02 ,-0.14 ,0.04  ,0.00  ,-0.20 ,0.06  ,0.12
98 T 6.0 3.73 90.00   ,-0.75  ,-0.45 ,-0.01 ,-0.12 ,0.05  ,-0.00 ,-0.20 ,0.08  ,0.11
99 T 7.0 0.00 0.00    ,-9.48  ,-0.11 ,-0.28 ,-0.33 ,-0.35 ,0.22  ,0.12  ,-0.31 ,0.30
100 T 7.0 0.23 0.00   ,-12.54 ,-0.12 ,-0.33 ,-0.36 ,-0.40 ,0.22  ,0.12  ,-0.35 ,0.30
101 T 7.0 0.23 57.78  ,-13.09 ,-0.20 ,-0.33 ,-0.40 ,-0.33 ,0.25  ,0.10  ,-0.28 ,0.30
102 T 7.0 0.23 90.00  ,-12.53 ,-0.22 ,-0.32 ,-0.40 ,-0.31 ,0.25  ,0.09  ,-0.25 ,0.30
103 T 7.0 0.48 0.00   ,-12.07 ,-0.12 ,-0.37 ,-0.36 ,-0.44 ,0.20  ,0.09  ,-0.40 ,0.24
104 T 7.0 0.48 29.63  ,-15.95 ,-0.40 ,-0.45 ,-0.48 ,-0.20 ,0.27  ,-0.00 ,-0.19 ,0.12
105 T 7.0 0.48 59.27  ,-17.25 ,-0.51 ,-0.37 ,-0.48 ,-0.06 ,0.26  ,-0.07 ,-0.00 ,0.15
106 T 7.0 0.48 90.00  ,-14.78 ,-0.50 ,-0.31 ,-0.44 ,-0.04 ,0.23  ,-0.08 ,0.05  ,0.19
107 T 7.0 0.80 0.00   ,-10.09 ,-0.11 ,-0.36 ,-0.33 ,-0.42 ,0.15  ,0.05  ,-0.41 ,0.18
108 T 7.0 0.80 20.62  ,-13.79 ,-0.50 ,-0.36 ,-0.36 ,0.18  ,0.16  ,-0.16 ,0.06  ,-0.19
109 T 7.0 0.80 41.24  ,-18.21 ,-0.59 ,-0.32 ,-0.38 ,0.23  ,0.15  ,-0.22 ,0.17  ,-0.13
110 T 7.0 0.80 61.86  ,-20.79 ,-0.66 ,-0.27 ,-0.40 ,0.22  ,0.13  ,-0.26 ,0.24  ,-0.00
111 T 7.0 0.80 82.49  ,-17.81 ,-0.63 ,-0.20 ,-0.37 ,0.18  ,0.11  ,-0.26 ,0.26  ,0.09
112 T 7.0 0.80 90.00  ,-17.32 ,-0.62 ,-0.20 ,-0.36 ,0.18  ,0.10  ,-0.26 ,0.26  ,0.09
113 T 7.0 1.25 0.00   ,-8.42  ,-0.11 ,-0.32 ,-0.30 ,-0.37 ,0.12  ,0.01  ,-0.40 ,0.16
114 T 7.0 1.25 16.44  ,-9.83  ,-0.21 ,-0.36 ,-0.36 ,-0.30 ,0.13  ,-0.05 ,-0.36 ,0.12
115 T 7.0 1.25 32.89  ,-12.31 ,-0.42 ,-0.37 ,-0.41 ,-0.08 ,0.11  ,-0.18 ,-0.18 ,0.04
116 T 7.0 1.25 49.33  ,-15.93 ,-0.57 ,-0.29 ,-0.39 ,0.11  ,0.07  ,-0.28 ,0.05  ,0.02
117 T 7.0 1.25 65.78  ,-17.37 ,-0.60 ,-0.20 ,-0.34 ,0.18  ,0.02  ,-0.32 ,0.19  ,0.06
118 T 7.0 1.25 82.22  ,-15.18 ,-0.57 ,-0.14 ,-0.29 ,0.19  ,-0.00 ,-0.32 ,0.23  ,0.09
119 T 7.0 1.25 90.00  ,-14.71 ,-0.57 ,-0.13 ,-0.28 ,0.19  ,-0.01 ,-0.31 ,0.23  ,0.10
120 T 7.0 2.08 0.00   ,-3.54  ,-0.09 ,-0.25 ,-0.26 ,-0.28 ,0.07  ,-0.02 ,-0.35 ,0.15
121 T 7.0 2.08 14.27  ,-4.00  ,-0.11 ,-0.25 ,-0.27 ,-0.26 ,0.07  ,-0.04 ,-0.34 ,0.14
122 T 7.0 2.08 28.54  ,-4.97  ,-0.19 ,-0.27 ,-0.30 ,-0.21 ,0.06  ,-0.09 ,-0.30 ,0.14
123 T 7.0 2.08 42.81  ,-6.25  ,-0.31 ,-0.25 ,-0.32 ,-0.11 ,0.02  ,-0.18 ,-0.19 ,0.14
124 T 7.0 2.08 57.08  ,-7.63  ,-0.39 ,-0.19 ,-0.29 ,0.01  ,-0.02 ,-0.25 ,-0.04 ,0.12
125 T 7.0 2.08 71.35  ,-7.38  ,-0.40 ,-0.13 ,-0.24 ,0.09  ,-0.05 ,-0.27 ,0.07  ,0.11
126 T 7.0 2.08 85.62  ,-6.48  ,-0.39 ,-0.09 ,-0.20 ,0.11  ,-0.06 ,-0.26 ,0.11  ,0.11
127 T 7.0 2.08 90.00  ,-6.41  ,-0.39 ,-0.09 ,-0.20 ,0.11  ,-0.06 ,-0.26 ,0.11  ,0.11
128 T 7.0 4.38 0.00   ,5.21   ,-0.07 ,-0.17 ,-0.19 ,-0.19 ,0.04  ,-0.03 ,-0.27 ,0.12
129 T 7.0 4.38 13.19  ,5.06   ,-0.08 ,-0.18 ,-0.20 ,-0.19 ,0.04  ,-0.04 ,-0.27 ,0.12
130 T 7.0 4.38 26.38  ,4.57   ,-0.11 ,-0.18 ,-0.21 ,-0.17 ,0.03  ,-0.07 ,-0.25 ,0.13
131 T 7.0 4.38 39.56  ,3.71   ,-0.17 ,-0.18 ,-0.23 ,-0.13 ,0.00  ,-0.12 ,-0.21 ,0.14
132 T 7.0 4.38 52.75  ,3.00   ,-0.23 ,-0.15 ,-0.22 ,-0.06 ,-0.03 ,-0.17 ,-0.12 ,0.13
133 T 7.0 4.38 65.94  ,3.25   ,-0.25 ,-0.11 ,-0.18 ,0.01  ,-0.06 ,-0.19 ,-0.03 ,0.11
134 T 7.0 4.38 79.13  ,3.80   ,-0.25 ,-0.07 ,-0.15 ,0.05  ,-0.07 ,-0.19 ,0.02  ,0.10
135 T 7.0 4.38 90.00  ,3.98   ,-0.25 ,-0.07 ,-0.14 ,0.06  ,-0.07 ,-0.19 ,0.04  ,0.09
136 T 8.0 0.00 0.00   ,-8.20  ,-0.09 ,-0.30 ,-0.29 ,-0.38 ,0.17  ,0.20  ,-0.24 ,0.25
137 T 8.0 0.20 0.00   ,-11.69 ,-0.10 ,-0.36 ,-0.31 ,-0.45 ,0.17  ,0.20  ,-0.28 ,0.23
138 T 8.0 0.20 57.67  ,-12.32 ,-0.14 ,-0.37 ,-0.34 ,-0.39 ,0.19  ,0.21  ,-0.23 ,0.25
139 T 8.0 0.20 90.00  ,-11.67 ,-0.15 ,-0.36 ,-0.35 ,-0.36 ,0.19  ,0.21  ,-0.20 ,0.25
140 T 8.0 0.41 0.00   ,-11.26 ,-0.10 ,-0.41 ,-0.28 ,-0.51 ,0.13  ,0.15  ,-0.33 ,0.14
141 T 8.0 0.41 29.40  ,-14.59 ,-0.23 ,-0.53 ,-0.39 ,-0.36 ,0.20  ,0.17  ,-0.24 ,0.07
142 T 8.0 0.41 58.80  ,-15.71 ,-0.31 ,-0.49 ,-0.45 ,-0.18 ,0.21  ,0.15  ,-0.06 ,0.12
143 T 8.0 0.41 90.00  ,-12.67 ,-0.31 ,-0.41 ,-0.43 ,-0.13 ,0.19  ,0.12  ,0.01  ,0.18
144 T 8.0 0.67 0.00   ,-9.89  ,-0.10 ,-0.40 ,-0.24 ,-0.49 ,0.08  ,0.08  ,-0.35 ,0.05
145 T 8.0 0.67 20.25  ,-12.83 ,-0.33 ,-0.49 ,-0.27 ,0.24  ,0.15  ,-0.00 ,0.02  ,-0.36
146 T 8.0 0.67 40.50  ,-16.24 ,-0.40 ,-0.50 ,-0.35 ,0.26  ,0.14  ,-0.03 ,0.10  ,-0.28
147 T 8.0 0.67 60.75  ,-17.85 ,-0.46 ,-0.46 ,-0.43 ,0.23  ,0.12  ,-0.06 ,0.20  ,-0.10
148 T 8.0 0.67 81.00  ,-14.23 ,-0.43 ,-0.36 ,-0.41 ,0.18  ,0.08  ,-0.07 ,0.24  ,0.05
149 T 8.0 0.67 90.00  ,-13.36 ,-0.42 ,-0.34 ,-0.40 ,0.17  ,0.07  ,-0.07 ,0.24  ,0.07
150 T 8.0 1.00 0.00   ,-9.44  ,-0.09 ,-0.38 ,-0.23 ,-0.46 ,0.04  ,0.03  ,-0.37 ,0.03
151 T 8.0 1.00 15.91  ,-11.61 ,-0.22 ,-0.52 ,-0.31 ,-0.25 ,0.07  ,-0.02 ,-0.32 ,-0.14
152 T 8.0 1.00 31.82  ,-13.66 ,-0.36 ,-0.52 ,-0.34 ,0.12  ,0.06  ,-0.11 ,-0.10 ,-0.28
153 T 8.0 1.00 47.73  ,-16.17 ,-0.44 ,-0.46 ,-0.38 ,0.28  ,0.01  ,-0.18 ,0.08  ,-0.22
154 T 8.0 1.00 63.64  ,-17.31 ,-0.48 ,-0.38 ,-0.40 ,0.31  ,-0.04 ,-0.23 ,0.22  ,-0.07
155 T 8.0 1.00 79.55  ,-14.30 ,-0.44 ,-0.28 ,-0.36 ,0.28  ,-0.07 ,-0.23 ,0.26  ,0.04
156 T 8.0 1.00 90.00  ,-13.00 ,-0.43 ,-0.26 ,-0.35 ,0.27  ,-0.07 ,-0.23 ,0.27  ,0.06
157 T 8.0 1.50 0.00   ,-7.94  ,-0.08 ,-0.33 ,-0.23 ,-0.38 ,0.01  ,-0.01 ,-0.39 ,0.04
158 T 8.0 1.50 13.53  ,-9.02  ,-0.11 ,-0.36 ,-0.25 ,-0.36 ,0.00  ,-0.03 ,-0.39 ,0.03
159 T 8.0 1.50 27.06  ,-10.57 ,-0.19 ,-0.41 ,-0.30 ,-0.25 ,-0.02 ,-0.09 ,-0.35 ,-0.01
160 T 8.0 1.50 40.59  ,-11.12 ,-0.29 ,-0.41 ,-0.35 ,-0.06 ,-0.07 ,-0.18 ,-0.22 ,-0.03
161 T 8.0 1.50 54.12  ,-12.33 ,-0.36 ,-0.35 ,-0.36 ,0.10  ,-0.12 ,-0.26 ,-0.05 ,0.00
162 T 8.0 1.50 67.65  ,-12.69 ,-0.37 ,-0.26 ,-0.32 ,0.19  ,-0.16 ,-0.29 ,0.08  ,0.06
163 T 8.0 1.50 81.18  ,-10.65 ,-0.34 ,-0.20 ,-0.28 ,0.20  ,-0.17 ,-0.28 ,0.14  ,0.10
164 T 8.0 1.50 90.00  ,-9.96  ,-0.33 ,-0.18 ,-0.27 ,0.20  ,-0.17 ,-0.28 ,0.14  ,0.10
165 T 8.0 2.41 0.00   ,-2.65  ,-0.07 ,-0.23 ,-0.19 ,-0.26 ,-0.02 ,-0.04 ,-0.33 ,0.06
166 T 8.0 2.41 12.18  ,-3.07  ,-0.07 ,-0.24 ,-0.20 ,-0.26 ,-0.03 ,-0.05 ,-0.33 ,0.06
167 T 8.0 2.41 24.35  ,-3.95  ,-0.10 ,-0.25 ,-0.22 ,-0.23 ,-0.05 ,-0.08 ,-0.32 ,0.06
168 T 8.0 2.41 36.53  ,-4.60  ,-0.15 ,-0.26 ,-0.24 ,-0.17 ,-0.09 ,-0.13 ,-0.28 ,0.07
169 T 8.0 2.41 48.71  ,-4.98  ,-0.19 ,-0.25 ,-0.25 ,-0.07 ,-0.13 ,-0.19 ,-0.20 ,0.09
170 T 8.0 2.41 60.88  ,-5.12  ,-0.22 ,-0.20 ,-0.23 ,0.03  ,-0.17 ,-0.22 ,-0.09 ,0.10
171 T 8.0 2.41 73.06  ,-4.37  ,-0.21 ,-0.15 ,-0.20 ,0.08  ,-0.18 ,-0.23 ,-0.01 ,0.11
172 T 8.0 2.41 85.24  ,-3.51  ,-0.21 ,-0.12 ,-0.18 ,0.10  ,-0.18 ,-0.22 ,0.02  ,0.11
173 T 8.0 2.41 90.00  ,-3.41  ,-0.21 ,-0.12 ,-0.17 ,0.11  ,-0.18 ,-0.22 ,0.03  ,0.11
174 T 8.0 5.03 0.00   ,6.26   ,-0.05 ,-0.15 ,-0.13 ,-0.17 ,-0.04 ,-0.05 ,-0.24 ,0.06
175 T 8.0 5.03 11.47  ,6.14   ,-0.05 ,-0.15 ,-0.14 ,-0.16 ,-0.04 ,-0.05 ,-0.24 ,0.06
176 T 8.0 5.03 22.94  ,5.79   ,-0.06 ,-0.16 ,-0.15 ,-0.15 ,-0.06 ,-0.07 ,-0.24 ,0.07
177 T 8.0 5.03 34.41  ,5.21   ,-0.08 ,-0.17 ,-0.16 ,-0.13 ,-0.08 ,-0.09 ,-0.22 ,0.08
178 T 8.0 5.03 45.88  ,4.63   ,-0.11 ,-0.16 ,-0.17 ,-0.09 ,-0.12 ,-0.13 ,-0.19 ,0.09
179 T 8.0 5.03 57.35  ,4.62   ,-0.13 ,-0.14 ,-0.16 ,-0.03 ,-0.14 ,-0.16 ,-0.12 ,0.10
180 T 8.0 5.03 68.82  ,5.20   ,-0.13 ,-0.11 ,-0.14 ,0.02  ,-0.15 ,-0.16 ,-0.06 ,0.09
181 T 8.0 5.03 80.29  ,5.72   ,-0.13 ,-0.09 ,-0.12 ,0.05  ,-0.15 ,-0.16 ,-0.03 ,0.09
182 T 8.0 5.03 90.00  ,5.87   ,-0.12 ,-0.08 ,-0.11 ,0.05  ,-0.15 ,-0.16 ,-0.02 ,0.09
183 T 9.0 0.00 0.00   ,-6.55  ,-0.07 ,-0.29 ,-0.20 ,-0.39 ,0.10  ,0.26  ,-0.11 ,0.19
