base ,judge ,R    ,Y/X  ,θ     ,E                     ,ol1  ,ol2   ,ol3   ,ol4   ,ol5   ,ol6   ,ol7   ,ol8
  17 ,T     , 4.0 ,0.41 ,58.80 ,-80.31                ,0.81 ,-0.04 ,-0.08 ,-0.00 ,0.19  ,0.14  ,0.26  ,-0.05
  18 ,T     , 4.0 ,0.41 ,90.00 ,-81.06                ,0.82 ,-0.05 ,-0.08 ,-0.00 ,0.18  ,0.16  ,0.26  ,-0.06
  19 ,T     , 4.0 ,1.00 , 0.00 ,-43.19                ,0.01 ,0.07  ,0.09  ,0.00  ,0.11  ,-0.17 ,0.16  ,-0.14
  20 ,T     , 4.0 ,1.00 ,31.82 ,-77.68                ,0.77 ,-0.02 ,-0.08 ,-0.00 ,0.19  ,0.10  ,0.26  ,-0.03
  21 ,T     , 4.0 ,1.00 ,63.64 ,-84.46                ,0.86 ,-0.11 ,-0.07 ,-0.00 ,0.16  ,0.24  ,0.23  ,-0.12
  22 ,T     , 4.0 ,1.00 ,90.00 ,-84.46                ,0.86 ,-0.12 ,-0.07 ,-0.00 ,0.15  ,0.26  ,0.22  ,-0.13
  23 ,T     , 4.0 ,2.41 , 0.00 ,-43.19                ,0.01 ,0.07  ,0.09  ,0.00  ,0.11  ,-0.17 ,0.16  ,-0.14
  24 ,T     , 4.0 ,2.41 ,24.35 ,-51.36                ,0.21 ,0.12  ,0.02  ,0.00  ,0.18  ,-0.21 ,0.23  ,-0.01
  25 ,T     , 4.0 ,2.41 ,48.71 ,-76.34                ,0.75 ,-0.01 ,-0.07 ,-0.00 ,0.20  ,0.08  ,0.27  ,-0.02
  26 ,T     , 4.0 ,2.41 ,73.06 ,-84.08                ,0.86 ,-0.09 ,-0.08 ,-0.00 ,0.17  ,0.22  ,0.24  ,-0.10
  27 ,T     , 4.0 ,2.41 ,90.00 ,-84.51                ,0.86 ,-0.10 ,-0.07 ,-0.00 ,0.16  ,0.24  ,0.23  ,-0.11
  28 ,T     , 5.0 ,0.00 , 0.00 ,-51.57                ,0.01 ,0.10  ,0.12  ,0.00  ,0.15  ,-0.22 ,0.20  ,-0.19
  29 ,T     , 5.0 ,0.32 , 0.00 ,-51.60                ,0.01 ,0.10  ,0.13  ,0.00  ,0.15  ,-0.22 ,0.20  ,-0.19
  30 ,T     , 5.0 ,0.32 ,58.25 ,-69.53                ,0.53 ,0.17  ,-0.08 ,-0.00 ,0.25  ,-0.14 ,0.28  ,0.06
  31 ,T     , 5.0 ,0.32 ,90.00 ,-72.15                ,0.60 ,0.16  ,-0.10 ,-0.00 ,0.25  ,-0.10 ,0.27  ,0.06
  32 ,T     , 5.0 ,0.73 , 0.00 ,-51.60                ,0.01 ,0.10  ,0.13  ,0.00  ,0.15  ,-0.22 ,0.20  ,-0.19
  33 ,T     , 5.0 ,0.73 ,30.62 ,-84.26                ,0.87 ,0.05  ,-0.17 ,-0.00 ,0.23  ,0.17  ,0.21  ,-0.03
  34 ,T     , 5.0 ,0.73 ,61.25 ,-86.14                ,0.89 ,0.01  ,-0.17 ,-0.00 ,0.21  ,0.24  ,0.19  ,-0.08
  35 ,T     , 5.0 ,0.73 ,90.00 ,-85.96                ,0.89 ,-0.00 ,-0.17 ,-0.00 ,0.21  ,0.24  ,0.19  ,-0.09
  36 ,T     , 5.0 ,1.38 , 0.00 ,-51.58                ,0.01 ,0.10  ,0.12  ,0.00  ,0.15  ,-0.22 ,0.20  ,-0.19
  37 ,T     , 5.0 ,1.38 ,22.25 ,-58.24                ,0.20 ,0.19  ,0.04  ,0.00  ,0.22  ,-0.29 ,0.27  ,-0.02
  38 ,T     , 5.0 ,1.38 ,44.50 ,-77.97                ,0.74 ,0.12  ,-0.14 ,-0.00 ,0.25  ,0.01  ,0.26  ,0.03
  39 ,T     , 5.0 ,1.38 ,66.75 ,-85.63                ,0.88 ,0.02  ,-0.17 ,-0.00 ,0.22  ,0.21  ,0.20  ,-0.06
  40 ,T     , 5.0 ,1.38 ,90.00 ,-86.02                ,0.89 ,-0.01 ,-0.17 ,-0.00 ,0.21  ,0.25  ,0.19  ,-0.09
  41 ,T     , 5.0 ,3.08 , 0.00 ,-51.59                ,0.01 ,0.10  ,0.12  ,0.00  ,0.15  ,-0.22 ,0.20  ,-0.19
  42 ,T     , 5.0 ,3.08 ,18.93 ,-53.46                ,0.06 ,0.15  ,0.10  ,0.00  ,0.19  ,-0.27 ,0.24  ,-0.11
  43 ,T     , 5.0 ,3.08 ,37.85 ,-63.93                ,0.37 ,0.19  ,-0.02 ,0.00  ,0.24  ,-0.23 ,0.28  ,0.04
  44 ,T     , 5.0 ,3.08 ,56.78 ,-78.76                ,0.76 ,0.12  ,-0.15 ,-0.00 ,0.25  ,0.02  ,0.25  ,0.03
  45 ,T     , 5.0 ,3.08 ,75.71 ,-84.90                ,0.88 ,0.04  ,-0.18 ,-0.00 ,0.22  ,0.18  ,0.21  ,-0.04
  46 ,T     , 5.0 ,3.08 ,90.00 ,-85.48                ,0.89 ,0.02  ,-0.18 ,-0.00 ,0.22  ,0.21  ,0.19  ,-0.06
  47 ,T     , 6.0 ,0.00 , 0.00 ,-59.27                ,0.01 ,0.13  ,0.18  ,0.00  ,0.21  ,-0.27 ,0.25  ,-0.26
  48 ,T     , 6.0 ,0.27 , 0.00 ,-59.34                ,0.01 ,0.13  ,0.18  ,0.00  ,0.21  ,-0.27 ,0.25  ,-0.26
  49 ,T     , 6.0 ,0.27 ,57.96 ,-66.28                ,0.25 ,0.29  ,0.05  ,0.00  ,0.28  ,-0.38 ,0.31  ,0.01
  50 ,T     , 6.0 ,0.27 ,90.00 ,-67.89                ,0.31 ,0.30  ,0.01  ,0.00  ,0.28  ,-0.36 ,0.30  ,0.04
  51 ,T     , 6.0 ,0.58 , 0.00 ,-3639450930659233.50  ,0.00 ,-0.00 ,0.00  ,-0.00 ,-0.00 ,-0.00 ,0.00  ,-0.00
  52 ,T     , 6.0 ,0.58 ,30.00 ,-81.54                ,0.81 ,0.22  ,-0.27 ,-0.00 ,0.24  ,0.09  ,0.11  ,0.05
  53 ,T     , 6.0 ,0.58 ,60.00 ,-85.03                ,0.85 ,0.21  ,-0.28 ,-0.00 ,0.26  ,0.11  ,0.12  ,0.03
  54 ,T     , 6.0 ,0.58 ,90.00 ,-85.16                ,0.85 ,0.20  ,-0.27 ,-0.00 ,0.26  ,0.11  ,0.13  ,0.02
  55 ,T     , 6.0 ,1.00 , 0.00 ,-59.34                ,0.01 ,0.13  ,0.18  ,0.00  ,0.21  ,-0.27 ,0.25  ,-0.26
  56 ,T     , 6.0 ,1.00 ,21.21 ,-66.83                ,0.27 ,0.29  ,0.04  ,0.00  ,0.28  ,-0.37 ,0.31  ,0.02
  57 ,T     , 6.0 ,1.00 ,42.43 ,-81.70                ,0.76 ,0.26  ,-0.23 ,-0.00 ,0.28  ,-0.03 ,0.18  ,0.08
  58 ,T     , 6.0 ,1.00 ,63.64 ,-85.81                ,0.86 ,0.17  ,-0.28 ,-0.00 ,0.25  ,0.16  ,0.10  ,-0.01
  59 ,T     , 6.0 ,1.00 ,84.85 ,-85.15                ,0.86 ,0.14  ,-0.28 ,-0.00 ,0.23  ,0.21  ,0.08  ,-0.05
  60 ,T     , 6.0 ,1.00 ,90.00 ,-85.09                ,0.86 ,0.14  ,-0.28 ,-0.00 ,0.23  ,0.21  ,0.08  ,-0.05
  61 ,T     , 6.0 ,1.73 , 0.00 ,-59.27                ,0.01 ,0.13  ,0.18  ,0.00  ,0.21  ,-0.27 ,0.25  ,-0.26
  62 ,T     , 6.0 ,1.73 ,17.32 ,-60.88                ,0.06 ,0.19  ,0.16  ,0.00  ,0.24  ,-0.34 ,0.29  ,-0.17
  63 ,T     , 6.0 ,1.73 ,34.64 ,-67.70                ,0.31 ,0.30  ,0.02  ,0.00  ,0.28  ,-0.36 ,0.30  ,0.04
  64 ,T     , 6.0 ,1.73 ,51.96 ,-78.41                ,0.67 ,0.29  ,-0.18 ,-0.00 ,0.29  ,-0.13 ,0.22  ,0.10
  65 ,T     , 6.0 ,1.73 ,69.28 ,-85.08                ,0.85 ,0.21  ,-0.27 ,-0.00 ,0.26  ,0.10  ,0.13  ,0.03
  66 ,T     , 6.0 ,1.73 ,86.60 ,-85.96                ,0.87 ,0.17  ,-0.29 ,-0.00 ,0.24  ,0.18  ,0.10  ,-0.01
  67 ,T     , 6.0 ,1.73 ,90.00 ,-85.97                ,0.87 ,0.17  ,-0.29 ,-0.00 ,0.24  ,0.18  ,0.10  ,-0.01
  68 ,T     , 6.0 ,3.73 , 0.00 ,-59.34                ,0.01 ,0.13  ,0.18  ,0.00  ,0.21  ,-0.27 ,0.25  ,-0.26
  69 ,T     , 6.0 ,3.73 ,15.53 ,-60.13                ,0.04 ,0.17  ,0.17  ,0.00  ,0.23  ,-0.31 ,0.27  ,-0.22
  70 ,T     , 6.0 ,3.73 ,31.06 ,-63.72                ,0.15 ,0.26  ,0.11  ,0.00  ,0.27  ,-0.39 ,0.31  ,-0.07
  71 ,T     , 6.0 ,3.73 ,46.59 ,-70.66                ,0.42 ,0.31  ,-0.05 ,0.00  ,0.29  ,-0.31 ,0.29  ,0.09
  72 ,T     , 6.0 ,3.73 ,62.12 ,-78.75                ,0.71 ,0.29  ,-0.21 ,-0.00 ,0.28  ,-0.09 ,0.20  ,0.11
  73 ,T     , 6.0 ,3.73 ,77.65 ,-82.12                ,0.81 ,0.22  ,-0.27 ,-0.00 ,0.25  ,0.08  ,0.12  ,0.06
  74 ,T     , 6.0 ,3.73 ,90.00 ,-82.42                ,0.83 ,0.21  ,-0.28 ,-0.00 ,0.24  ,0.11  ,0.11  ,0.04
  75 ,T     , 7.0 ,0.00 , 0.00 ,-65.36                ,0.02 ,0.18  ,0.26  ,0.00  ,0.28  ,-0.32 ,0.29  ,-0.34
  76 ,T     , 7.0 ,0.23 , 0.00 ,-65.51                ,0.02 ,0.18  ,0.26  ,0.00  ,0.28  ,-0.32 ,0.29  ,-0.34
  77 ,T     , 7.0 ,0.23 ,57.78 ,-68.87                ,0.12 ,0.32  ,0.20  ,0.00  ,0.32  ,-0.47 ,0.35  ,-0.14
  78 ,T     , 7.0 ,0.23 ,90.00 ,-69.56                ,0.16 ,0.35  ,0.17  ,0.00  ,0.32  ,-0.48 ,0.35  ,-0.08
  79 ,T     , 7.0 ,0.48 , 0.00 ,-64.64                ,0.02 ,0.18  ,0.26  ,0.00  ,0.28  ,-0.31 ,0.29  ,-0.34
  80 ,T     , 7.0 ,0.48 ,29.63 ,-74.74                ,0.54 ,0.47  ,-0.18 ,-0.00 ,0.24  ,-0.28 ,0.15  ,0.19
  81 ,T     , 7.0 ,0.48 ,59.27 ,-80.52                ,0.65 ,0.46  ,-0.25 ,-0.00 ,0.26  ,-0.20 ,0.10  ,0.17
  82 ,T     , 7.0 ,0.48 ,90.00 ,-81.01                ,0.67 ,0.45  ,-0.26 ,-0.00 ,0.27  ,-0.19 ,0.09  ,0.15
  83 ,T     , 7.0 ,0.80 , 0.00 ,-64.97                ,0.02 ,0.18  ,0.26  ,0.00  ,0.28  ,-0.31 ,0.29  ,-0.34
  84 ,T     , 7.0 ,0.80 ,20.62 ,-72.69                ,0.39 ,0.46  ,-0.03 ,0.00  ,0.29  ,-0.41 ,0.25  ,0.14
  85 ,T     , 7.0 ,0.80 ,41.24 ,-80.67                ,0.70 ,0.43  ,-0.32 ,-0.00 ,0.22  ,-0.08 ,0.02  ,0.15
  86 ,T     , 7.0 ,0.80 ,61.86 ,-84.23                ,0.77 ,0.37  ,-0.37 ,-0.00 ,0.21  ,0.05  ,-0.05 ,0.07
  87 ,T     , 7.0 ,0.80 ,82.49 ,-83.36                ,0.77 ,0.33  ,-0.37 ,-0.00 ,0.21  ,0.09  ,-0.06 ,0.02
  88 ,T     , 7.0 ,0.80 ,90.00 ,-83.15                ,0.77 ,0.33  ,-0.37 ,-0.00 ,0.21  ,0.10  ,-0.07 ,0.02
  89 ,T     , 7.0 ,1.25 , 0.00 ,-65.51                ,0.02 ,0.18  ,0.26  ,0.00  ,0.28  ,-0.32 ,0.29  ,-0.34
  90 ,T     , 7.0 ,1.25 ,16.44 ,-67.50                ,0.07 ,0.27  ,0.24  ,0.00  ,0.31  ,-0.42 ,0.34  ,-0.23
  91 ,T     , 7.0 ,1.25 ,32.89 ,-72.50                ,0.30 ,0.42  ,0.05  ,0.00  ,0.31  ,-0.46 ,0.30  ,0.06
  92 ,T     , 7.0 ,1.25 ,49.33 ,-79.68                ,0.62 ,0.46  ,-0.22 ,-0.00 ,0.28  ,-0.24 ,0.13  ,0.16
  93 ,T     , 7.0 ,1.25 ,65.78 ,-83.92                ,0.76 ,0.39  ,-0.35 ,-0.00 ,0.24  ,-0.01 ,-0.01 ,0.09
  94 ,T     , 7.0 ,1.25 ,82.22 ,-83.37                ,0.77 ,0.33  ,-0.37 ,-0.00 ,0.21  ,0.09  ,-0.06 ,0.03
  95 ,T     , 7.0 ,1.25 ,90.00 ,-83.15                ,0.77 ,0.32  ,-0.37 ,-0.00 ,0.21  ,0.10  ,-0.07 ,0.02
  96 ,T     , 7.0 ,2.08 , 0.00 ,-65.41                ,0.02 ,0.18  ,0.26  ,0.00  ,0.28  ,-0.32 ,0.29  ,-0.34
  97 ,T     , 7.0 ,2.08 ,14.27 ,-66.27                ,0.03 ,0.22  ,0.26  ,0.00  ,0.30  ,-0.37 ,0.31  ,-0.30
  98 ,T     , 7.0 ,2.08 ,28.54 ,-68.85                ,0.12 ,0.32  ,0.20  ,0.00  ,0.32  ,-0.47 ,0.35  ,-0.14
  99 ,T     , 7.0 ,2.08 ,42.81 ,-72.87                ,0.32 ,0.43  ,0.03  ,0.00  ,0.31  ,-0.46 ,0.30  ,0.08
 100 ,T     , 7.0 ,2.08 ,57.08 ,-78.67                ,0.58 ,0.47  ,-0.18 ,-0.00 ,0.28  ,-0.29 ,0.16  ,0.17
 101 ,T     , 7.0 ,2.08 ,71.35 ,-82.79                ,0.73 ,0.43  ,-0.32 ,-0.00 ,0.23  ,-0.08 ,0.02  ,0.14
 102 ,T     , 7.0 ,2.08 ,85.62 ,-83.32                ,0.76 ,0.38  ,-0.36 ,-0.00 ,0.21  ,0.02  ,-0.04 ,0.09
 103 ,T     , 7.0 ,2.08 ,90.00 ,-83.31                ,0.76 ,0.38  ,-0.36 ,-0.00 ,0.21  ,0.03  ,-0.04 ,0.09
 104 ,T     , 7.0 ,4.38 , 0.00 ,-65.32                ,0.02 ,0.18  ,0.26  ,0.00  ,0.28  ,-0.32 ,0.29  ,-0.34
 105 ,T     , 7.0 ,4.38 ,13.19 ,-65.84                ,0.03 ,0.20  ,0.26  ,0.00  ,0.29  ,-0.35 ,0.30  ,-0.32
 106 ,T     , 7.0 ,4.38 ,26.38 ,-67.46                ,0.08 ,0.28  ,0.24  ,0.00  ,0.31  ,-0.43 ,0.34  ,-0.21
 107 ,T     , 7.0 ,4.38 ,39.56 ,-69.86                ,0.20 ,0.38  ,0.14  ,0.00  ,0.32  ,-0.48 ,0.34  ,-0.02
 108 ,T     , 7.0 ,4.38 ,52.75 ,-72.76                ,0.40 ,0.46  ,-0.04 ,0.00  ,0.28  ,-0.41 ,0.25  ,0.14
 109 ,T     , 7.0 ,4.38 ,65.94 ,-75.07                ,0.58 ,0.46  ,-0.21 ,-0.00 ,0.23  ,-0.23 ,0.11  ,0.19
 110 ,T     , 7.0 ,4.38 ,79.13 ,-75.00                ,0.64 ,0.41  ,-0.29 ,-0.00 ,0.18  ,-0.08 ,0.01  ,0.16
 111 ,T     , 7.0 ,4.38 ,90.00 ,-74.69                ,0.65 ,0.39  ,-0.31 ,-0.00 ,0.17  ,-0.04 ,-0.01 ,0.15
 112 ,T     , 8.0 ,0.00 , 0.00 ,-69.29                ,0.02 ,0.22  ,0.36  ,0.00  ,0.35  ,-0.32 ,0.29  ,-0.42
 113 ,T     , 8.0 ,0.20 , 0.00 ,-69.63                ,0.02 ,0.22  ,0.36  ,0.00  ,0.36  ,-0.32 ,0.28  ,-0.42
 114 ,T     , 8.0 ,0.20 ,57.67 ,-72.03                ,0.07 ,0.35  ,0.35  ,0.00  ,0.38  ,-0.46 ,0.35  ,-0.27
 115 ,T     , 8.0 ,0.20 ,90.00 ,-72.27                ,0.09 ,0.38  ,0.34  ,0.00  ,0.37  ,-0.49 ,0.36  ,-0.22
 116 ,T     , 8.0 ,0.41 , 0.00 ,-67.04                ,0.02 ,0.22  ,0.36  ,0.00  ,0.35  ,-0.31 ,0.27  ,-0.41
 117 ,T     , 8.0 ,0.41 ,29.40 ,-71.62                ,0.24 ,0.54  ,0.16  ,0.00  ,0.28  ,-0.51 ,0.29  ,0.09
 118 ,T     , 8.0 ,0.41 ,58.80 ,-76.85                ,0.38 ,0.61  ,-0.02 ,0.00  ,0.23  ,-0.48 ,0.17  ,0.19
 119 ,T     , 8.0 ,0.41 ,90.00 ,-76.81                ,0.41 ,0.61  ,-0.06 ,0.00  ,0.23  ,-0.46 ,0.14  ,0.18
 120 ,T     , 8.0 ,0.67 , 0.00 ,-66.13                ,0.02 ,0.22  ,0.36  ,0.00  ,0.35  ,-0.31 ,0.27  ,-0.41
 121 ,T     , 8.0 ,0.67 ,20.25 ,-67.22                ,0.39 ,0.52  ,-0.16 ,-0.00 ,0.06  ,-0.25 ,0.01  ,0.24
 122 ,T     , 8.0 ,0.67 ,40.50 ,-73.18                ,0.50 ,0.53  ,-0.29 ,-0.00 ,0.04  ,-0.15 ,-0.12 ,0.20
 123 ,T     , 8.0 ,0.67 ,60.75 ,-80.85                ,0.60 ,0.57  ,-0.36 ,-0.00 ,0.09  ,-0.13 ,-0.18 ,0.15
 124 ,T     , 8.0 ,0.67 ,81.00 ,-81.77                ,0.62 ,0.55  ,-0.38 ,-0.00 ,0.12  ,-0.12 ,-0.20 ,0.10
 125 ,T     , 8.0 ,0.67 ,90.00 ,-81.48                ,0.62 ,0.55  ,-0.38 ,-0.00 ,0.12  ,-0.12 ,-0.20 ,0.10
 126 ,T     , 8.0 ,1.00 , 0.00 ,-69.15                ,0.02 ,0.22  ,0.36  ,0.00  ,0.36  ,-0.32 ,0.28  ,-0.42
 127 ,T     , 8.0 ,1.00 ,15.91 ,-71.93                ,0.08 ,0.37  ,0.35  ,0.00  ,0.37  ,-0.47 ,0.35  ,-0.23
 128 ,T     , 8.0 ,1.00 ,31.82 ,-75.43                ,0.31 ,0.58  ,0.07  ,0.00  ,0.26  ,-0.51 ,0.24  ,0.15
 129 ,T     , 8.0 ,1.00 ,47.73 ,-80.29                ,0.54 ,0.63  ,-0.24 ,-0.00 ,0.15  ,-0.31 ,-0.03 ,0.21
 130 ,T     , 8.0 ,1.00 ,63.64 ,-82.03                ,0.63 ,0.56  ,-0.38 ,-0.00 ,0.11  ,-0.12 ,-0.20 ,0.11
 131 ,T     , 8.0 ,1.00 ,79.55 ,-79.49                ,0.61 ,0.48  ,-0.40 ,-0.00 ,0.10  ,-0.03 ,-0.25 ,0.03
 132 ,T     , 8.0 ,1.00 ,90.00 ,-78.56                ,0.61 ,0.46  ,-0.40 ,-0.00 ,0.10  ,-0.01 ,-0.26 ,0.02
 133 ,T     , 8.0 ,1.50 , 0.00 ,-69.41                ,0.02 ,0.22  ,0.36  ,0.00  ,0.35  ,-0.32 ,0.29  ,-0.42
 134 ,T     , 8.0 ,1.50 ,13.53 ,-70.59                ,0.04 ,0.27  ,0.37  ,0.00  ,0.37  ,-0.39 ,0.32  ,-0.37
 135 ,T     , 8.0 ,1.50 ,27.06 ,-72.75                ,0.11 ,0.41  ,0.31  ,0.00  ,0.37  ,-0.51 ,0.36  ,-0.17
 136 ,T     , 8.0 ,1.50 ,40.59 ,-74.68                ,0.27 ,0.55  ,0.12  ,0.00  ,0.30  ,-0.53 ,0.27  ,0.08
 137 ,T     , 8.0 ,1.50 ,54.12 ,-78.14                ,0.47 ,0.62  ,-0.14 ,0.00  ,0.21  ,-0.41 ,0.07  ,0.19
 138 ,T     , 8.0 ,1.50 ,67.65 ,-81.69                ,0.60 ,0.60  ,-0.33 ,-0.00 ,0.14  ,-0.21 ,-0.13 ,0.16
 139 ,T     , 8.0 ,1.50 ,81.18 ,-81.77                ,0.63 ,0.54  ,-0.39 ,-0.00 ,0.10  ,-0.09 ,-0.22 ,0.09
 140 ,T     , 8.0 ,1.50 ,90.00 ,-81.47                ,0.63 ,0.52  ,-0.40 ,-0.00 ,0.10  ,-0.06 ,-0.24 ,0.08
 141 ,T     , 8.0 ,2.41 , 0.00 ,-69.63                ,0.02 ,0.22  ,0.36  ,0.00  ,0.36  ,-0.32 ,0.29  ,-0.42
 142 ,T     , 8.0 ,2.41 ,12.18 ,-70.29                ,0.03 ,0.25  ,0.37  ,0.00  ,0.37  ,-0.36 ,0.30  ,-0.39
 143 ,T     , 8.0 ,2.41 ,24.35 ,-71.93                ,0.06 ,0.34  ,0.36  ,0.00  ,0.38  ,-0.45 ,0.35  ,-0.29
 144 ,T     , 8.0 ,2.41 ,36.53 ,-73.63                ,0.15 ,0.46  ,0.28  ,0.00  ,0.35  ,-0.53 ,0.35  ,-0.09
 145 ,T     , 8.0 ,2.41 ,48.71 ,-75.35                ,0.29 ,0.57  ,0.10  ,0.00  ,0.28  ,-0.53 ,0.26  ,0.12
 146 ,T     , 8.0 ,2.41 ,60.88 ,-77.52                ,0.45 ,0.63  ,-0.12 ,0.00  ,0.18  ,-0.41 ,0.09  ,0.23
 147 ,T     , 8.0 ,2.41 ,73.06 ,-78.08                ,0.54 ,0.60  ,-0.27 ,-0.00 ,0.10  ,-0.24 ,-0.07 ,0.22
 148 ,T     , 8.0 ,2.41 ,85.24 ,-77.25                ,0.55 ,0.55  ,-0.33 ,-0.00 ,0.06  ,-0.15 ,-0.15 ,0.18
 149 ,T     , 8.0 ,2.41 ,90.00 ,-77.14                ,0.55 ,0.55  ,-0.33 ,-0.00 ,0.06  ,-0.14 ,-0.15 ,0.18
 150 ,T     , 8.0 ,5.03 , 0.00 ,-68.19                ,0.02 ,0.22  ,0.36  ,0.00  ,0.36  ,-0.32 ,0.28  ,-0.42
 151 ,T     , 8.0 ,5.03 ,11.47 ,-68.59                ,0.02 ,0.24  ,0.37  ,0.00  ,0.36  ,-0.34 ,0.29  ,-0.40
 152 ,T     , 8.0 ,5.03 ,22.94 ,-69.60                ,0.05 ,0.31  ,0.37  ,0.00  ,0.37  ,-0.41 ,0.33  ,-0.32
 153 ,T     , 8.0 ,5.03 ,34.41 ,-70.37                ,0.10 ,0.40  ,0.33  ,0.00  ,0.36  ,-0.49 ,0.35  ,-0.17
 154 ,T     , 8.0 ,5.03 ,45.88 ,-70.26                ,0.20 ,0.50  ,0.21  ,0.00  ,0.30  ,-0.51 ,0.31  ,0.04
 155 ,T     , 8.0 ,5.03 ,57.35 ,-69.90                ,0.31 ,0.56  ,0.03  ,0.00  ,0.19  ,-0.44 ,0.19  ,0.20
 156 ,T     , 8.0 ,5.03 ,68.82 ,-68.77                ,0.39 ,0.55  ,-0.13 ,0.00  ,0.09  ,-0.30 ,0.04  ,0.25
 157 ,T     , 8.0 ,5.03 ,80.29 ,-67.18                ,0.41 ,0.49  ,-0.21 ,-0.00 ,0.03  ,-0.18 ,-0.05 ,0.23
 158 ,T     , 8.0 ,5.03 ,90.00 ,-66.66                ,0.41 ,0.48  ,-0.23 ,-0.00 ,0.02  ,-0.15 ,-0.07 ,0.21
 159 ,T     , 9.0 ,0.00 , 0.00 ,-71.03                ,0.02 ,0.26  ,0.46  ,0.00  ,0.42  ,-0.27 ,0.21  ,-0.46
 160 ,T     , 9.0 ,0.18 , 0.00 ,-71.74                ,0.02 ,0.26  ,0.47  ,0.00  ,0.42  ,-0.26 ,0.21  ,-0.46
 161 ,T     , 9.0 ,0.18 ,57.59 ,-73.88                ,0.04 ,0.36  ,0.49  ,0.00  ,0.43  ,-0.37 ,0.28  ,-0.35
 162 ,T     , 9.0 ,0.18 ,90.00 ,-73.90                ,0.05 ,0.39  ,0.48  ,0.00  ,0.42  ,-0.40 ,0.29  ,-0.31
 163 ,T     , 9.0 ,0.36 , 0.00 ,-66.98                ,0.02 ,0.25  ,0.45  ,0.00  ,0.40  ,-0.23 ,0.18  ,-0.43
 164 ,T     , 9.0 ,0.36 ,29.24 ,-71.65                ,0.10 ,0.50  ,0.43  ,0.00  ,0.34  ,-0.43 ,0.30  ,-0.09
 165 ,T     , 9.0 ,0.36 ,58.48 ,-75.94                ,0.20 ,0.64  ,0.28  ,0.00  ,0.23  ,-0.51 ,0.25  ,0.09
 166 ,T     , 9.0 ,0.36 ,90.00 ,-75.09                ,0.22 ,0.64  ,0.22  ,0.00  ,0.21  ,-0.51 ,0.20  ,0.10
 167 ,T     , 9.0 ,0.58 , 0.00 ,-53065060670273608.00 ,0.00 ,-0.00 ,-0.00 ,-0.00 ,-0.00 ,-0.00 ,0.00  ,-0.00
